Type,Object,Description
sha256,a196c6b8ffcb97ffb276d04f354696e2391311db3841ae16c8c9f56f36a38e92,WhisperGate
sha256,dcbbae5a1c61dbbbb7dcd6dc5dd1eb1169f5329958d38b58c3fd9384081c9b78,WhisperGate
sha1,912342F1C840A42F6B74132F8A7C4FFE7D40FB77,Win32/KillDisk.N CV
sha1,61B25D11392172E587D8DA3045812A66C3385451,Win32/KillDisk.N CV
sha1,912342f1c840a42f6b74132f8a7c4ffe7d40fb77,HermeticWiper
sha1,61b25d11392172e587d8da3045812a66c3385451,HermeticWiper
sha256, e5f3ef69a534260e899a36cec459440dc572388defd8f1d98760d31c700f42d5,RCDATA_DRV_ X64
sha256, b01e0c6ac0b8bcde145ab7b68cf246deea9402fa7ea3aede7105f7051fe240c1,RCDATA_DRV_ X64
sha256, b6f2e008967c5527337448d768f2332d14b92de22a1279fd4d91000bb3d4a0fd,RCDATA_DRV_ X64
sha256, fd7eacc2f87aceac865b0aa97a50503d44b799f27737e009f91f3c281233c17d,RCDATA_DRV_ X64
sha256,1bc44eef75779e3ca1eefb8ff5a64807dbc942b1e4a2672d77b9f6928d292591,Trojan.Killdisk
sha256,0385eeab00e946a302b24a91dea4187c1210597b8e17cd9e2230450f5ece21da,Trojan.Killdisk
sha256,a64c3e0522fad787b95bfb6a30c3aed1b5786e69e88e023c062ec7e5cebf4d3e,Trojan.Killdisk
sha256,4dc13bb83a16d4ff9865a51b3e4d24112327c526c1392e14d56f20d6f4eaf382,Ransomware
