Type,Object,Description
sha1,911c16d41f49198482aa4d75054cb0e10b07d68c,Ransom.Win32.CONTI.SMYXBLD
sha1,3a81355ccfd6d3846fa435b5893ea5cd18e6c9fa,Ransom.Win32.CONTI.SMYXBLD
sha1,a803a4b305415b66f22ed29d08017c286b8cb9ef,Ransom.Win32.CONTI.SMYXBLD
sha1,b9505c86dd3ae120c0be1201e51af44de4266b36,Ransom.Win32.CONTI.SMYXBLD
sha1,655269c264f7b044d8f406cd980fc00c3b8e21ca,Ransom.Win32.CONTI.SMYXBLD
sha1,38cd341de09c7d393adf93596b691e7237d0a2e7,Ransom.Win32.CONTI.SMYXBLD
sha1,6c7b35e36830c1cc613fb08280ee25e5fbba9937,Ransom.Win32.CONTI.SMYXBLD
sha1,5bf5551cee1635709598c90836733550727245ba,Ransom.Win32.CONTI.SMYXBLD
sha1,5f27447dcc66c1c4152e23decb47f82c32883080,Ransom.Win32.CONTI.SMYXBLD
sha1,f6294b2acf0f15453697f16597de734da8a9d92f,TrojanSpy.Win32.AVEMARIA.AYAD| TROJ.Win32.TRX.XXPE50FFF053
sha1,61b25d11392172e587d8da3045812a66c3385451,Trojan.Win32.KILLDISK.SMYECBW | TROJ.Win32.TRX.XXPE50FFF053E0002
sha1,912342f1c840a42f6b74132f8a7c4ffe7d40fb77,Trojan.Win32.KILLDISK.SMYECBW | TROJ.Win32.TRX.XXPE50FFF053E0003
sha1,9518e4ae0862ae871cf9fb634b50b07c66a2c379,Trojan.Win32.KILLDISK.SMYECBW | TROJ.Win32.TRX.XXPE50FFF053E0002
sha1,d9a3596af0463797df4ff25b7999184946e3bfa2,Trojan.Win32.KILLDISK.SMYECBW | TROJ.Win32.TRX.XXPE50FFF053E0003
sha1,0d8cc992f279ec45e8b8dfd05a700ff1f0437f29,Trojan.Win32.KILLDISK.SMYECBW | TROJ.Win32.TRX.XXPE50FFF053E0004
sha1,189166d382c73c242ba45889d57980548d4ba37e,Trojan.Win32.WHISPERGATE.YXCAQ | TROJ.Win32.TRX.XXPE50FFF053
sha1,16525cb2fd86dce842107eb1ba6174b23f188537,Trojan.Win32.WHISPERGATE.YXCAQ | TROJ.Win32.TRX.XXPE50FFF053
sha1,b2d863fc444b99c479859ad7f012b840f896172e,Trojan.MSIL.WHISPERGATE.YXCAQ
sha1,4c5006cee3e3f7147df37cd03775bfd48e572ca5,Trojan.Win32.FRS.VSNW11A22
sha1,82d29b52e35e7938e7ee610c04ea9daaf5e08e90,Trojan.MSIL.WHISPERGATE.YXCAQ
sha1,a67205dc84ec29eb71bb259b19c1a1783865c0fc,Trojan.Win32.WHISPERGATE.YXCAX
sha1,97aa0b096abc89d403a2176079fb77be990a4011,Trojan.MSIL.WHISPERGATE.YXCBU | TROJ.Win32.TRX.XXPE50FFF053
sha1,0fbd7abc2755ccc4d853d06ca7ad8562c5c12b40,TrojanSpy.Win32.CLIPBANKER.TH COABB
sha256,728da6dea7be8c4249c40bb45ead9a4885257d72d130db3caa0e19c108041760,TROJ_FRS.0NA104BP22
sha256,738c3dbc72b2edcb0e90eda5e235d4398a42326099954a20a9691e02bf1f8ab0,TROJ_FRS.0NA104BP22
ip,5.252.178.184,N/A
ip,2.59.36.204,N/A
ip,5.252.178.183,N/A
ip,2.59.36.194,N/A
ip,5.252.178.184,N/A
ip,5.252.178.183,N/A
domain,gortomalo.ru,N/A
domain,lotorgas.ru,N/A
domain,centosi.ru,N/A
domain,cupsman.ru,N/A
domain,linuxo.ru,N/A
domain,ubunto.ru,N/A
domain,freebsdo.ru,N/A
domain,archlinuxo.ru,N/A
domain,koparas.ru,N/A
domain,pitroksa.ru,N/A
domain,kassanfo.ru,N/A
domain,kilotora.ru,N/A
domain,vivaldar.ru,N/A
domain,loralis.ru ,N/A
domain,golitus.ru,N/A
domain,holotras.ru,N/A
domain,archlinuxo.ru,N/A
url,http://185.46.10.45/wordpress.html,N/A
url,http://185.46.10.45/counter.html,N/A
url,http://185.46.10.45/set.lgo/deerfood3,N/A
url,http://185.46.10.45/currently/credit/m4v,N/A
url,http://185.46.10.45/set.lgo/deerfood223,N/A
url,http://179.43.175.171/qelh/CL.exe,N/A
url,http://179.43.175.171,N/A
url,http://5.252.178.184,N/A
